#OTUID	taxonomy	confidence
Otu000157	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;uncultured_Actinomyces_sp.	0.84
Otu000159	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	1.0
Otu000160	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	0.98
Otu000161	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000164	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;uncultured;uncultured_bacterium	0.81
Otu000165	Root;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas	0.97
Otu000166	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Anaeroglobus;uncultured_organism	0.99
Otu000167	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_sp._oral_clone_BS041	0.89
Otu000168	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Ruminococcus_sp._5_1_39BFAA	0.97
Otu000169	Root;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olsenella	0.98
Otu000171	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;uncultured;Leptotrichia-like_sp._oral_clone_BB002	0.85
Otu000172	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;Faucicola_mancuniensis	0.95
Otu000174	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	0.98
Otu000176	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	1.0
Otu000177	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Streptobacillus;Streptobacillus_hongkongensis	0.98
